Protein	MapManNumer	Description	NA_1_1	NA_1_2	NA_1_3	NA_2_1	NA_2_2	NA_2_3	NA_3_1	NA_3_2	NA_3_3	CA_1_1	CA_1_2	CA_1_3	CA_2_1	CA_2_2	CA_2_3	CA_3_1	CA_3_2	CA_3_3	DA6_1_1	DA6_1_2	DA6_1_3	DA6_2_1	DA6_2_2	DA6_2_3	DA6_3_1	DA6_3_2	DA6_3_3	DA12_1_1	DA12_1_2	DA12_1_3	DA12_2_1	DA12_2_2	DA12_2_3	DA12_3_1	DA12_3_2	DA12_3_3	DA24_1_1	DA24_1_2	DA24_1_3	DA24_2_1	DA24_2_2	DA24_2_3	DA24_3_1	DA24_3_2	DA24_3_3
AT1G02500.1	GMM:13.1.3.4.11	amino acid metabolism.synthesis.aspartate family.methionine.S-adenosylmethionine synthetase	0.325402	0.302447	0.130917	0.201820	0.255391	NaN	0.086969	0.207676	-0.108260	0.102877	0.141189	0.201957	-0.102764	-0.213333	-0.001402	0.403705	0.221329	0.348696	0.296106	-0.049758	-0.119328	-0.163808	0.245569	-0.207976	0.173940	0.049961	-0.078356	0.237972	-0.012930	0.416087	0.031275	-0.013426	0.077611	-0.017550	0.131790	0.024321	0.308377	-5.886184	0.165601	0.047756	0.314474	0.183748	0.500060	0.369929	0.167319
AT1G02560.1	GMM:29.5.5	protein.degradation.serine protease	0.093580	0.265555	0.040403	0.333624	0.263908	0.262603	0.052909	0.118990	0.108609	-0.121198	-0.031926	-0.245409	-0.117562	-0.028170	0.354895	0.045408	0.121580	0.079127	-0.120766	0.204869	-0.108040	-0.373748	0.062704	0.128571	-0.051609	0.036380	-0.143103	-0.045958	-0.142279	-0.011200	-0.162465	-0.039077	-0.022829	0.059974	0.018500	NaN	0.209900	0.101493	-0.018055	0.058366	-0.101187	-0.051002	0.134118	0.025958	-5.365441
AT1G02620.1	GMM:30.5	signalling.G-proteins	NaN	NaN	0.235539	NaN	NaN	0.199592	NaN	0.454886	NaN	NaN	0.204468	0.188421	0.161191	NaN	NaN	-0.013304	NaN	NaN	NaN	NaN	0.173590	NaN	0.280098	NaN	0.405353	0.103333	0.182905	NaN	0.397121	0.225593	NaN	NaN	NaN	NaN	0.468632	0.442416	NaN	0.426269	0.278495	0.199117	NaN	NaN	NaN	NaN	NaN
AT1G02730.1	GMM:10.2.1	cell wall.cellulose synthesis.cellulose synthase	NaN	NaN	NaN	-0.017721	NaN	-0.039341	-0.000389	-0.104760	NaN	0.301374	-0.099247	NaN	NaN	-0.024711	0.091542	-0.059573	0.049553	NaN	NaN	0.177445	NaN	NaN	0.050813	-0.058716	NaN	-0.081021	-9.924350	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.159475	0.007246	0.177353	NaN	NaN	-0.122029	0.275713	NaN	-0.041281	0.247064	NaN
AT1G02740.1	GMM:27.3.54	RNA.regulation of transcription.histone acetyltransferases	NaN	0.065763	NaN	NaN	0.045433	NaN	-0.019953	NaN	NaN	-0.238112	-0.061278	-0.104175	NaN	-0.044713	NaN	-0.084769	-0.033109	-11.910126	0.112771	NaN	NaN	-0.050910	0.109146	NaN	0.047238	-0.101095	NaN	NaN	0.204727	NaN	0.125800	NaN	NaN	-0.061532	-0.216973	NaN	NaN	0.280281	NaN	0.165903	0.069150	NaN	NaN	-0.111236	NaN
AT1G02780.1	GMM:29.2.1.2.2.19	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L19	0.016061	0.141527	0.104501	0.439185	-0.071063	-0.101322	0.011539	0.039198	-0.013788	-0.143355	-0.145569	-0.110852	-0.066685	-0.021814	-0.014659	0.014892	-0.092243	0.118573	-0.128501	0.085695	0.073103	0.144063	-0.107803	-0.021533	-0.121997	-0.048123	-0.078695	-0.023913	-0.061301	0.252961	0.091200	0.049474	-0.067948	-0.011928	0.204552	0.126325	-0.080564	0.035305	-0.025367	0.101329	-0.150021	0.003600	-0.117629	0.110374	0.028371
AT1G02790.1	GMM:10.6.3	cell wall.degradation.pectate lyases and polygalacturonases	NaN	NaN	NaN	NaN	NaN	NaN	0.299808	NaN	0.209049	0.418646	0.629694	0.535326	0.159451	0.068130	NaN	0.336916	0.237709	0.331757	0.055791	NaN	NaN	NaN	0.591535	NaN	0.472828	0.405869	NaN	0.485205	0.367635	NaN	0.592424	0.757672	0.524816	NaN	0.093915	0.122535	-0.055017	NaN	NaN	-0.142293	-0.140935	-0.063778	0.168303	-0.008499	NaN
AT1G02920.1	GMM:26.9	misc.glutathione S transferases	0.098537	0.487020	0.141397	-0.823223	-0.460086	NaN	NaN	0.573342	NaN	-0.085439	NaN	-0.206124	-0.987667	-0.270307	NaN	NaN	NaN	-0.091631	-0.050337	-0.220397	-0.045023	-0.401250	-0.444261	-1.001053	-0.537063	-0.384553	-0.211459	-0.188800	-0.381410	-0.252965	-10.469131	-0.429987	NaN	0.802768	NaN	NaN	NaN	NaN	-0.155863	0.375342	0.690608	0.631346	NaN	NaN	0.922107
AT1G02930.1	GMM:26.9	misc.glutathione S transferases	NaN	NaN	-0.067831	NaN	-0.758271	-1.013752	-0.707658	NaN	NaN	-10.106188	0.029371	-0.206525	NaN	NaN	-0.921460	-0.769681	-0.407746	NaN	0.001442	-0.003302	-0.226477	NaN	-0.241836	NaN	NaN	-10.038701	NaN	-0.347391	-0.025222	-0.024575	NaN	NaN	0.351154	NaN	0.936331	NaN	-8.331541	0.261686	-0.147575	NaN	NaN	NaN	0.789506	NaN	0.857135
AT1G03020.1	GMM:21.4	redox.glutaredoxins	-0.009338	NaN	-0.224453	NaN	0.147106	NaN	NaN	-0.202636	NaN	NaN	-0.191827	-0.118267	-0.552967	-0.129189	0.036640	0.067575	0.381221	-0.220486	-0.112506	-0.049689	-0.024956	0.017817	NaN	NaN	-0.394097	NaN	NaN	NaN	-0.536384	-0.278366	NaN	NaN	NaN	NaN	NaN	0.317692	0.183756	NaN	NaN	0.368847	NaN	0.857748	0.448480	0.152574	NaN
AT1G03022.1			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-7.482994	-8.529031	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G03130.1	GMM:1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.051028	-0.110616	0.159362	NaN	NaN	NaN	0.299175	NaN	NaN	NaN	0.132954	NaN	-0.222036	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.274619	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G03160.1	GMM:30.5	signalling.G-proteins	NaN	NaN	NaN	NaN	NaN	NaN	-6.869554	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G03220.1	GMM:29.5.4	protein.degradation.aspartate protease	0.494788	0.556053	-8.873108	0.649666	0.231446	NaN	0.549439	0.431355	0.389465	0.192551	0.396646	NaN	0.334249	0.044692	NaN	-4.089775	0.164059	-0.176826	NaN	NaN	0.209497	0.125991	0.123793	0.526365	0.295297	0.338859	NaN	0.178560	0.254463	NaN	0.197748	0.187443	NaN	0.414557	0.620389	0.777055	0.212293	0.292728	0.378127	0.120302	0.166276	-0.265532	NaN	-0.148228	NaN
AT1G03350.1	GMM:35.1.8	not assigned.no ontology.BSD domain-containing protein	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G03360.1	GMM:27.1.19	RNA.processing.ribonucleases	NaN	NaN	0.108297	NaN	0.193410	-0.042467	NaN	NaN	-13.809934	NaN	NaN	0.013579	NaN	NaN	0.049825	NaN	NaN	0.181062	NaN	NaN	0.025452	NaN	-13.583381	0.006921	NaN	NaN	NaN	NaN	NaN	0.037478	NaN	NaN	-0.023011	NaN	0.238671	NaN	NaN	NaN	-0.005650	NaN	NaN	0.007042	NaN	0.015817	-0.077179
AT1G03475.1	GMM:19.8	tetrapyrrole synthesis.coproporphyrinogen III oxidase	NaN	0.302275	0.201739	0.190027	0.324754	0.079931	NaN	NaN	NaN	NaN	NaN	-0.209236	-0.421189	NaN	0.172223	-0.170080	-0.057029	-0.091932	NaN	NaN	-0.148537	-0.026658	-0.075255	0.190804	0.329821	NaN	-0.251546	0.073322	NaN	0.167508	NaN	NaN	NaN	-0.208344	NaN	NaN	0.226248	-0.141245	0.193904	0.115863	0.378587	0.013942	0.112206	NaN	NaN
AT1G03490.1	GMM:33.99	development.unspecified	NaN	NaN	-12.867563	-0.529231	-12.608778	NaN	NaN	-1.006363	-0.703035	NaN	NaN	-0.602464	-0.902352	NaN	-0.930739	-1.401773	NaN	NaN	-1.061340	-12.556083	-0.855113	-0.592575	NaN	-0.452462	NaN	NaN	NaN	NaN	NaN	NaN	-0.469045	NaN	-0.283269	NaN	-1.044453	-0.634051	NaN	NaN	NaN	NaN	NaN	-0.818724	-1.188533	NaN	NaN
AT1G03520.1	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G03600.1	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits	NaN	0.758493	0.180770	0.145406	0.290303	-0.108151	0.371078	0.243777	0.014488	0.003923	0.114733	-0.386532	0.154828	0.041559	-0.005123	-0.121363	0.235375	0.085754	0.000590	NaN	-0.045684	-0.018092	-0.143355	-0.107278	0.151877	-0.064049	0.138914	NaN	-0.025405	0.095771	-0.020656	0.327351	NaN	0.013677	-0.176835	0.103827	0.934439	-0.137493	-0.078325	-0.097746	-0.073071	NaN	0.262215	-0.053964	0.261186
AT1G03630.1	GMM:19.14	tetrapyrrole synthesis.protochlorophyllide reductase	NaN	NaN	-0.177739	NaN	NaN	0.200782	NaN	-10.661185	NaN	NaN	NaN	NaN	NaN	NaN	-0.394010	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.121067	NaN	NaN	-0.235964	NaN	-10.595230	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.344089	NaN	NaN	NaN	NaN
AT1G03680.1	GMM:21.1	redox.thioredoxin	-0.176795	0.109167	0.072694	0.394990	0.130083	0.064443	0.007941	-0.039593	0.121002	-0.205118	-0.290153	-0.035267	-9.924470	-0.162684	0.102128	-0.065852	-0.112330	-0.125353	0.127025	0.249084	-0.182808	0.261959	0.055707	-0.009902	0.006122	0.063225	NaN	-0.025537	0.188728	0.067580	-0.085230	-0.073972	-0.089411	-0.007274	-0.298863	-0.260364	0.121416	NaN	-0.023678	NaN	-5.621344	NaN	-0.017219	0.002509	NaN
AT1G03750.1	GMM:28.1	DNA.synthesis/chromatin structure	-0.088475	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.126795	0.005262	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.179282	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.301307	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G03870.1	GMM:10.5.1.1	cell wall.cell wall proteins.AGPs.AGP	NaN	0.305382	NaN	NaN	0.029415	NaN	0.070422	NaN	NaN	NaN	NaN	0.329200	-0.024557	0.162847	NaN	-0.151623	-10.001627	NaN	NaN	0.069954	NaN	NaN	NaN	0.074882	0.127064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.214234	NaN	NaN	NaN	NaN	NaN
AT1G03990.1			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04090.1			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04110.1	GMM:29.5.1	protein.degradation.subtilases	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.169877	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04140.1	GMM:33.99	development.unspecified	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04270.1	GMM:29.2.1.2.1.15	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S15	NaN	NaN	NaN	-0.317181	0.009469	NaN	NaN	NaN	-0.126505	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.043598	NaN	NaN	NaN	0.013942	NaN	NaN	0.319758	NaN	-0.153563	-0.154939	NaN	0.274876	0.123248	NaN	-0.038053	-0.168790	NaN	NaN	0.054054	NaN	0.111113	-0.038240	NaN	-0.029030	NaN	NaN	NaN	0.081296
AT1G04300.1	GMM:35.1	not assigned.no ontology	NaN	NaN	NaN	NaN	-0.853703	-0.881539	NaN	NaN	-0.306238	NaN	NaN	-1.081907	NaN	NaN	NaN	-0.880311	NaN	NaN	NaN	NaN	-1.227375	NaN	-1.044321	-1.043138	NaN	NaN	NaN	-10.896764	-0.775782	NaN	NaN	NaN	-0.977763	NaN	NaN	NaN	NaN	NaN	NaN	-1.160653	NaN	NaN	-0.920919	NaN	NaN
AT1G04380.1	GMM:17.5.1	hormone metabolism.ethylene.synthesis-degradation	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04410.1	GMM:8.2.9	TCA / organic transformation.other organic acid transformations.cyt MDH	0.112572	0.206145	0.165366	0.004364	0.107515	0.114167	0.141634	0.037118	0.004835	-0.018202	0.059827	0.122324	0.014983	-0.038053	0.132593	0.075134	0.124392	0.111947	-0.017765	-0.055630	0.042148	-0.006520	-0.000782	0.019600	0.019660	0.074076	0.047784	0.073682	0.010725	-0.030606	-0.015083	-0.029230	-0.136829	0.105475	0.073492	0.095508	0.200517	0.119504	0.161306	0.184231	0.243593	0.211933	0.322452	0.256908	0.223518
AT1G04420.1	GMM:3.5	minor CHO metabolism.others	0.100295	NaN	0.245515	NaN	-0.244971	NaN	-0.204959	NaN	NaN	NaN	-0.025620	NaN	0.381053	NaN	NaN	NaN	NaN	NaN	-0.062342	NaN	0.358621	0.196780	NaN	-0.130923	NaN	NaN	NaN	NaN	0.334994	NaN	0.123532	NaN	NaN	NaN	0.118734	NaN	0.034991	NaN	NaN	-0.312350	NaN	NaN	NaN	NaN	NaN
AT1G04430.1	GMM:20.2.3	stress.abiotic.drought/salt	NaN	NaN	NaN	NaN	-10.430841	NaN	-10.466153	NaN	NaN	-2.163266	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-10.665629	NaN	NaN	NaN	NaN	-2.062824	-2.095980	NaN	-1.654242	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04480.1	GMM:29.2.1.2.2.23	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L23	NaN	NaN	-0.323734	-0.186256	0.063768	-0.147885	-0.207701	0.155114	-0.297080	-10.440580	-0.318374	-0.026724	0.753953	-0.085350	-0.055593	-0.236817	-0.182416	-0.175728	NaN	-0.178597	-0.224005	-0.057356	-0.009221	-0.137992	NaN	-0.204256	-0.218027	NaN	0.241596	NaN	-0.404857	0.042826	-0.081740	-0.114988	-0.296875	-0.086031	0.237525	0.199537	0.044527	NaN	0.337126	0.105909	NaN	-0.064131	NaN
AT1G04510.1			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04620.1	GMM:18	Co-factor and vitamine metabolism	0.143845	0.194245	0.089222	0.051460	0.174441	-0.025422	0.040224	-0.077709	0.028027	0.141118	0.104228	0.102474	0.169546	0.092272	0.066869	0.026659	0.140888	0.211807	-0.042610	0.030043	-0.002111	-0.012299	0.111775	0.112072	0.028684	0.039874	0.057568	0.082794	0.090233	0.177412	0.219276	0.100906	0.076554	0.049250	0.164919	0.185778	0.201784	0.268800	0.237526	0.194241	0.079067	0.163708	0.228198	0.130105	0.211378
AT1G04690.1	GMM:34.15	transport.potassium	NaN	NaN	0.077670	NaN	0.038751	-0.034821	-9.882185	0.140238	-9.208204	0.326253	NaN	NaN	NaN	NaN	0.057471	0.159197	0.374677	NaN	0.037003	0.050413	NaN	NaN	0.191120	-0.011724	NaN	0.133570	NaN	NaN	NaN	NaN	0.354822	-10.134766	0.148710	NaN	0.294305	-0.038261	-9.588680	0.215175	0.379899	0.293169	-0.116923	NaN	NaN	NaN	0.084076
AT1G04820.1	GMM:31.1	cell.organisation	0.008296	0.198134	0.093540	0.134696	0.348341	0.271316	0.182145	0.241269	0.049962	-0.069550	-0.122254	-0.138583	-0.020251	-0.102150	-0.222885	-0.084272	-0.071819	-0.119866	0.003826	0.144463	0.059452	-0.017339	0.082458	0.118670	0.103121	0.016600	-0.087444	0.012129	0.024690	0.094970	0.047440	0.009164	0.017751	0.039157	0.097316	0.099966	0.187111	0.228791	0.134602	0.107379	0.160521	0.041500	0.111958	0.201000	0.110361
AT1G04840.1	GMM:35.1.5	not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04880.1	GMM:27.3.38	RNA.regulation of transcription.AT-rich interaction domain containing transcription factor family	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04920.1	GMM:2.1.1.1	major CHO metabolism.synthesis.sucrose.SPS	NaN	NaN	NaN	NaN	NaN	NaN	4.369396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.120540	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
AT1G04945.1	GMM:35.1	not assigned.no ontology	NaN	-1.381447	-1.533688	NaN	0.094665	NaN	NaN	NaN	NaN	NaN	-1.027034	NaN	NaN	NaN	NaN	-1.699416	NaN	NaN	NaN	-1.665199	NaN	NaN	-0.253113	NaN	0.053301	-1.596135	NaN	NaN	0.140078	NaN	NaN	NaN	NaN	NaN	NaN	2.514065	NaN	-0.267551	NaN	NaN	0.186983	NaN	NaN	0.182240	NaN
AT1G04980.1	GMM:21.1.1	redox.thioredoxin.PDIL	NaN	-10.581539	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-10.162057	NaN	-10.830548	NaN	NaN	NaN	-10.817491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-10.469120	NaN	NaN	NaN	NaN	NaN	-10.009788	NaN	NaN	NaN	NaN
AT1G05010.1	GMM:17.5.1.2	hormone metabolism.ethylene.synthesis-degradation.1-aminocyclopropane-1-carboxylate oxidase	0.235440	0.366013	NaN	0.142066	0.406788	NaN	NaN	NaN	0.379211	-0.085113	NaN	-0.262111	-0.646053	0.118915	NaN	-0.141636	NaN	NaN	-0.199237	NaN	-0.106823	NaN	-0.331649	NaN	NaN	-0.339745	-0.201218	-0.120908	NaN	NaN	-0.567712	NaN	-0.353156	NaN	-0.238423	-0.187739	NaN	0.015901	0.259280	0.515112	NaN	0.463193	0.088307	0.176162	0.121656
